Row	Meal	Name	Brand	Pos
955		Bánh Mặn		74759
956		mướp đắng		74780
957		Súp lơ		74804
958		Đậu que xào		74830
959		Sữa Đậu Nành		74849
960		Nấm Rơm		74888
961		Cháo Lòng		74908
962		Gà kho gừng		74929
963		Chè		74964
964		hủ tiếu thịt heo		74985
965		Bánh Đa Cua		75025
966		Bò kho		75063
967		đậu hủ dồn thịt		75084
968		Bánh Mì Pate		75117
969		Đỗ		75138
970		Sữa Tách Béo Vinamilk		75236
971		Miến		75271
972		Rau Bí		75309
973		rong biển		75329
974		Nước Dừa		75350
975		Sữa đặc có đường		75372
976		sữa dậu nành		75405
977		Cai Thao		75426
978		Rau đay		75452
979		Trái ổi		75475
980		Bánh chuối chiên		75496
981		cơm chiên trứng		75530
982		miến gà		75569
983		Nấm rơm kho		75590
984		Banh khoai		75611
985		Cơm sườn		75633
986		bánh bao nhân thịt		75654
987		Sushi		75690
988		Đậu phụ rán		75723
989		Vịt quay		75764
990		canh bún		75785
991		Cà phê sữa		75806
992		Bánh da lợn		75845
993		Hồng xiêm		75882
994		Sinh tố dâu		75904
995		Cà phê sữa đá		75931
996		chanh mật ong		75979
997		Banh ú		76001
998		canh hẹ		76021
999		Củ sắn		76055
1000		Nước trái cây hương vị		76080
1001		Cải cúc		76175
1002		Cá hú kho		76198
1003		Bánh bía		76220
1004		Nguyên cải bắp		76242
1005		cocacola		76491
1006		Tôm Biển		76512
1007		Dừa cùi		76533
1008		Khoai		76564
1009		Cơm Trứng		76586
1010		bánh trứng		76690
1011		Su Hào		76725
1012		rau cải ngọt		76746
1013		Chả giò chiên		76767
1014		Sườn nướng		76801
1015		xôi khúc		76834
1016		Sườn ram		76856
1017		Thịt heo xào đậu que		76889
1018		thịt nạc		76923
1019		Khoai mì		76945
1020		Sữa Tươi Không Đường		76982
1021		Quả Nhãn		77019
1022		Dưa cải bắp		77044
1023		Dọc mùng		77069
1024		Rượu vang đỏ		77090
1025		Nước đóng chai		77163
1026		Gà vú		77285
1027		Vòi nước		77385
1028		Đậu thận đỏ		77506
1029		Khử caffein cà phê		77664
1030		Bánh mì ý		77799
1031		Bánh mạch đen		77992
1032		Bánh mì tròn quế nho khô		78261
1033		Đường nâu		78467
1034		Bánh mì cứng cuộn		78658
1035		Chiếc bánh rán		78839
1036		Đậu phộng M & Ms		79062
1037		M & Ms		79222
1038		Nước ép nam Việt quất		79384
1039		Hạt lúa mạch		79536
1040		Nước trái cây rau và trái cây		79705
1041		Ma		79846
1042		Khử caffein trà		79982
1043		Đồ uống trái cây đóng hộp		80121
1044		Làm giàu trái cây uống		80256
1045		Đóng hộp tôm		80402
1046		Trai		80542
1047		Trai đóng hộp		80718
1048		Đóng hộp cá ngừ ánh sáng		80898
1049		Quái vật năng lượng nước uống		81080
1050		Mùa đông bóng quần		81212
1051		Đóng hộp khoai lang		81392
1052		Nước trái cây đóng hộp cà rốt		81538
1053		Các khoai tây nướng với da		81695
1054		Ngô đông lạnh		81897
1055		Nướng khoai lang		82161
1056		Nước trái cây rau quả đóng hộp		82309
1057		Hạnh nhân		82467
1058		Rang hạnh nhân		82652
1059		Hạnh nhân nướng muối		82819
1060		Lò nướng khoai tây chiên		82988
1061		Nguyên rau bina		83191
1062		Khoai tây ở da		83347
1063		Luộc khoai tây		83546
1064		Nấu chín cà chua		83746
1065		Cà chua đóng hộp		84019
1066		Bột cà chua tiềm		84205
1067		Nước sốt cà chua đóng hộp		84476
1068		Cà rốt nấu chín		84635
1069		Đông lạnh cà rốt		84883
1070		Cần tây		85133
1071		Tảng băng trôi rau diếp		85383
1072		Nấm da trắng		85679
1073		Hành tây nấu chín		85835
1074		Mùa xuân hành tây		86105
1075		Màu xanh lá cây đậu đóng hộp		86289
1076		Nguyên bông cải xanh		86463
1077		Bông cải xanh xắt nhỏ		86693
1078		Bông cải xanh đông lạnh		86921
1079		Dâu tây đông lạnh		87149
1080		Nước ép táo, nho và Lê		87427
1081		Tập trung nước cam		87583
1082		Nước cam với canxi		87740
1083		Tập trung nước cam đông lạnh		87898
1084		Nho khô		88059
1085		Nước táo		88300
1086		Thổ Nhĩ Kỳ vú		88454
1087		Nước nho ép		88632
1088		Ý mặc quần áo		88788
1089		Pháp mặc quần áo		88953
1090		Thấp chất béo dầu thực vật lây lan		89117
1091		Dầu ngô		89275
1092		Bơ thanh		89422
1093		Dầu thực vật lây lan		89580
1094		Dầu dừa		89741
1095		Muối		89888
1096		Em bé bột yến mạch		90020
1097		Dầu đậu phộng		90171
1098		Gà cuộn		90313
1099		Thổ Nhĩ Kỳ cuộn		90463
1100		Kem của súp nấm		90608
1101		Thịt bò chứng khoán		90762
1102		Cổ gà		90914
1103		Nước luộc gà		91068
1104		Bơ mà không có muối		91217
1105		Thay thế kem		91380
1106		Thay thế kem bột		91547
1107		Toàn bộ sô cô la sữa		91717
1108		2% sữa		91878
1109		Muối bơ		92033
1110		Pho mát kem		92197
1111		Ướt phô mai		92358
1112		Pho mát Thụy sĩ		92506
1113		Pho mát Mỹ		92653
1114		Pho mát lây lan		92806
1115		Một nửa và một nửa		92954
1116		Ánh sáng kem		93098
1117		Nước sốt pho mát		93242
1118		Xúc xích ý		93390
1119		Yến mạch với quế và gia vị		93555
1120		Yến mạch với nho khô và gia vị		93702
1121		Ớt bột		93853
1122		Mù tạt		94010
1123		Cánh gà		94152
1124		Rang Thổ Nhĩ Kỳ		94286
1125		Thịt gà nướng		94423
1126		Gà tiềm		94549
1127		Quả Việt quất		94675
1128		Ánh sáng thịt gà tây cuộn		94809
1129		Ngô đóng hộp màu vàng		94949
1130		Sốt cà chua		95089
1131		Thanh bột cá		95231
1132		Cua		95416
1133		Trà tức thì		95567
1134		Thấp chất béo phô mai Thụy Sỹ		95731
1135		Pho mát Mỹ chất béo thấp		95875
1136		Bỏng ngô lò vi sóng		96018
1137		Kẹo cứng		96150
1138		Bơ bánh		96264
1139		Mẩu bánh mì		96435
1140		Bánh quy giòn với bơ đậu phộng		96576
1141		Chiếc bánh táo		96728
1142		Chiếc bánh bí ngô		96911
1143		Rang đậu phộng		97097
1144		Đậu trắng		97240
1145		Nấu chín đậu lăng		97382
1146		Lạc muối		97526
1147		Đóng hộp đậu thận đỏ		97675
1148		Cá hồi cầu vồng		97816
1149		Ăn tối cuộn		97940
1150		Bánh sô cô la		98061
1151		Đường bột		98194
1152		Phong xi-rô		98304
1153		Gạo trắng nguyên		98433
1154		Ngay lập tức gạo		98556
1155		Bột mì nguyên hạt		98672
1156		Tất cả mục đích bột		98795
1157		Bánh mì trắng bột		98920
1158		Bột nở		99044
1159		Nướng bánh sô cô la		99159
1160		Bột ca cao		99296
1161		Loại đá vôi		99427
1162		Thanh sô cô la điện		99519
1163		Mật ong chùm của yến mạch với hạnh nhân		99638
1164		Trứng cuộn với thịt lợn		99768
1165		Thịt bò mặt đất (75/25)		99897
1166		Hồ sơ dự thầu gà		100018
1167		Gà nồi bánh		100148
1168		Mì ống với thịt viên sốt cà chua		100281
1169		Mật ong chùm của yến mạch		100406
1170		Xi-rô sô cô la		100538
1171		Rượu vang trắng		100669
1172		80 bằng chứng rượu		100769
1173		Thịt lưng của bò hàng đầu		100860
1174		86 bằng chứng rượu		100981
1175		Căn hộ cá		101074
1176		Đậu nướng với Frank		101196
1177		Nướng đậu với thịt lợn và bobopark nước sốt		101323
1178		Hạt giống hướng dương		101446
1179		Rau đắng		101576
1180		Hỗn hợp hạt		101714
1181		Dầu rang hỗn hợp hạt		101838
1182		Thịt bò gan		101968
1183		Thịt bò thịt		102091
1184		Dầu rang hạt hướng dương		102208
1185		Thịt bò lưỡi rang		102342
1186		Thịt bò vòng		102460
1187		Đầu vòng thịt bò		102577
1188		Mùi tây		102700
1189		Đồ nhắm đóng hộp màu xanh lá cây		102831
1190		Màu xanh lá cây đậu Hà Lan đông lạnh		102946
1191		Mù tạt xanh		103061
1192		Củ cải xanh		103173
1193		Rau bina đóng hộp		103288
1194		Nướng mỡ trên thịt lợn thăn		103401
1195		Măng tây		103509
1196		Gà vú với da		103615
1197		Tẩm bột gà vú		103730
1198		Nướng gà vú		103851
1199		Đất Thổ Nhĩ Kỳ		103965
1200		Cánh gà nướng		104074
1201		Em bé gạo ngũ cốc		104191
1202		Bột yến mạch hình vuông		104320
1203		Yến mạch cám ngũ cốc		104451
1204		Sợi một		104583
1205		Bánh mì nướng quế khủng hoảng		104700
1206		Ngũ cốc bắt đầu thông minh		104836
1207		Yến mạch nướng mật ong		104951
1208		Vani hạnh nhân		105072
1209		Tất cả-Cám lúa mì mảnh		105192
1210		Trái cây sỏi		105307
1211		KIX		105421
1212		Sự quyến rũ may mắn		105552
1213		Mật ong hạt chex		105686
1214		Gạo chex		105820
1215		Phủ sương mảnh		105941
1216		Toàn bộ hạt tất cả		106069
1217		Lúa mì chex		106192
1218		Xúc xích heo nấu chín trước		106316
1219		Ca cao sỏi		106444
1220		Ngô chex		106563
1221		Gà con chó nóng		106681
1222		Tiệc trưa thịt		106818
1223		Xúc xích thịt lợn và thịt bò		106952
1224		Trứng khô		107091
1225		Sữa chua nhẹ trái cây thấp chất béo		107227
1226		Tăng cường chất trái cây thấp chất béo sữa chua		107339
1227		Kem chua		107457
